"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
10 "Gallagher, Adrian" 22 466 83 34 500 22.73 30 33 1           66 53                    
1 "Silvagni, Sergio" 22 399 115 53 452 20.55 6 8 27           42 39                    
6 "Crane, Gary" 18 336 69 38 374 20.78 3 3             40 22                    
17 "Crosswell, Brent" 19 287 76 59 346 18.21 13 19 1           31 37                    
19 "Collins, Ian" 22 276 59 18 294 13.36                 30 20                    
2 "Nicholls, John" 21 204 62 75 279 13.29 18 22 524           53 87                    
11 "Goold, John" 19 217 63 35 252 13.26   1             33 25                    
34 "Robertson, Ian" 20 212 73 23 235 11.75 23 29 1           48 47                    
28 "Jones, Peter" 20 157 98 70 227 11.35 28 18 317           38 55                    
42 "Walls, Robert" 21 198 60 27 225 10.71 2 3 4           26 23                    
8 "Munari, Dennis" 13 190 17 24 214 16.46 11 17             21 28                    
41 "Auchettl, Ron" 12 162 25 37 199 16.58 7 6 1           19 24                    
32 "Quirk, Bryan" 15 182 70 16 198 13.20 16 16 1           33 29                    
16 "Kekovich, Brian" 17 164 69 31 195 11.47 59 41             33 39                    
3 "Hall, Kevin" 15 172 47 20 192 12.80   1 2           15 16                    
20 "Lofts, Wes" 20 170 69 21 191 9.55 2 1             24 39                    
25 "Jesaulenko, Alex" 15 160 46 24 184 12.27 25 15             27 11                    
31 "Barassi, Ron" 10 118 32 47 165 16.50 3 8 10           22 15                    
39 "Stewart, Cliff" 9 134 21 15 149 16.56   2             27 10                    
9 "Kerr, Peter" 11 98 15 8 106 9.64   3 1           14 8                    
37 "Smith, Peter" 10 81 25 13 94 9.40 8 10             10 11                    
24 "Board, Terry" 7 79 12 10 89 12.71 6 8             6 6                    
36 "McLean, Peter" 14 78 18 11 89 6.36   1 1           7 10                    
47 "Chandler, Neil" 9 73 23 15 88 9.78 1               8 17                    
26 "Anderson, Graeme" 8 66 8 12 78 9.75                 11 6                    
44 "Stone, Ron" 11 59 23 13 72 6.55 3 1 13           13 11                    
21 "Gill, Barry" 9 59 12 10 69 7.67   1             6 13                    
38 "Edmond, Bob" 7 50 23 11 61 8.71   1 17           13 12                    
12 "Bennett, Bill" 7 41 17 12 53 7.57 4 2             9 17                    
7 "Hopkins, Ted" 5 47 11 5 52 10.40                 2 3                    
23 "Nicoll, Ian" 4 26 3 2 28 7.00                 8 7                    
30 "Waite, Vin" 5 21 1 3 24 4.80     1           1 10                    
22 "Bishop, Noel" 2 8 2   8 4.00                                        
15 "Casey, Gordon" 1 3   1 4 4.00 1                                      
3 "Richardson, Wayne" 20 473 72 36 509 25.45 27 33 6           62 52                    
23 "Watt, Ricky" 19 296 67 36 332 17.47 3 9 2           34 20                    
27 "Britt, Con" 19 257 78 38 295 15.53 15 18             32 31                    
28 "Thompson, Len" 19 216 87 79 295 15.53 10 7 505           77 71                    
2 "Waters, Terry" 15 233 100 42 275 18.33 9 4 16           26 30                    
22 "Greening, John" 15 208 42 43 251 16.73 2 8             35 21                    
7 "Hug, Ernie" 18 207 97 37 244 13.56   3 62           22 40                    
11 "Farmer, Bob" 19 212 79 28 240 12.63 22 24 5           30 33                    
29 "OCallaghan, Denis" 18 185 45 18 203 11.28                 15 11                    
17 "Patterson, Peter" 12 181 41 17 198 16.50   1             23 12                    
12 "Dunne, Ross" 15 172 52 24 196 13.07 15 22 20           34 21                    
15 "Potter, Ted" 20 184 55 11 195 9.75                 29 21                    
14 "Jenkin, Graeme" 13 147 70 46 193 14.85 10 16 240           27 45                    
1 "Tuddenham, Des" 8 166 32 25 191 23.88 9 12 4           17 28                    
33 "Adamson, Lee" 16 154 37 30 184 11.50                 37 25                    
6 "McKenna, Peter" 15 145 81 14 159 10.60 64 34 1           15 27                    
16 "Neave, Bruce" 11 126 28 23 149 13.55                 26 17                    
9 "Tully, Colin" 11 114 17 21 135 12.27 8 11 2           16 13                    
8 "Boyne, Peter" 14 113 27 8 121 8.64     1           11 13                    
13 "Hill, Laurie" 10 94 16 16 110 11.00   1             23 7                    
21 "Moylan, Ron" 9 84 27 12 96 10.67 7 6             17 12                    
4 "Wheadon, David" 8 59 17 25 84 10.50 2 7             11 13                    
5 "Price, Barry" 5 54 15 25 79 15.80 5 5             11 8                    
36 "McKenzie, Brian" 5 69 14 2 71 14.20                 4 6                    
32 "Wallis, Gary" 5 50 8 6 56 11.20 2 2             5 11                    
30 "Alexander, Terry" 10 44 19 6 50 5.00 4 3 44           8 15                    
37 "Pitt, Max" 5 37 15 13 50 10.00 1 3             2 2                    
34 "Le Gassick, Dennis" 6 41 8 5 46 7.67   5             12 7                    
25 "Green, Jack" 11 42 18 2 44 4.00 2 1             4 11                    
32 "Clark, Len" 3 33 10 7 40 13.33                 7 3                    
10 "Ellis, Vaughan" 4 25 7   25 6.25   1 11           3 4                    
37 "Walker, Paul" 2 22 1 3 25 12.50   3             8 3                    
49 "Mugeli, Barry" 3 17 5 6 23 7.67                 3 5                    
34 "Searl, Doug" 4 20 12 1 21 5.25 7 6             1 3                    
26 "Whelan, Shane" 6 16 6 4 20 3.33                 3 9                    
20 "Montgomery, Ian" 3 16 6 1 17 5.67                                        
36 "Hibbert, Danny" 2 16 1   16 8.00 2 2               2                    
19 "Urquhart, Max" 1 2 1   2 2.00                   2                    
24 "Brady, Bernie" 1 1     1 1.00                                        
32 "Davis, Barry" 22 394 136 87 481 21.86 1 8             31 16                    
30 "Ellis, John" 23 317 81 146 463 20.13 23 28 1           33 34                    
6 "Gosper, Geoff" 23 386 79 73 459 19.96 13 21             46 17                    
14 "Blew, Russell" 23 391 100 55 446 19.39 6 8             32 26                    
20 "Fordham, Ted" 22 350 132 75 425 19.32 22 20 3           40 47                    
23 "Fraser, Ken" 21 248 118 126 374 17.81 15 22 37           40 35                    
35 "Pryor, Geoff" 23 296 95 23 319 13.87   1 81           25 30                    
28 "Epis, Alec" 22 258 46 53 311 14.14                 25 32                    
17 "Gerlach, Darryl" 19 246 86 25 271 14.26 1 1             19 19                    
22 "Williams, John" 22 240 83 18 258 11.73     1           12 29                    
7 "Payne, Charlie" 19 213 92 42 255 13.42 14 19 19           15 21                    
24 "McKenzie, Don" 23 213 46 38 251 10.91 8 3 481           73 83                    
8 "Greenwood, Bob" 12 217 35 27 244 20.33 13 22             27 18                    
5 "Shaw, David" 20 225 42 18 243 12.15 5 11             13 22                    
10 "Noonan, Alan" 18 178 85 44 222 12.33 51 45             23 19                    
15 "Gross, Don" 14 157 23 38 195 13.93 15 13             22 16                    
19 "Close, Robin" 13 163 63 13 176 13.54 25 22             25 22                    
21 "Fletcher, Ken" 12 137 38 22 159 13.25 1 3             8 15                    
29 "Egan, Kevin" 12 107 17 43 150 12.50 4 7             19 20                    
4 "McGie, Lindsay" 14 101 39 10 111 7.93 1   2           7 9                    
9 "Waite, Bruce" 13 92 44 17 109 8.38 16 7 115           11 23                    
26 "Sproule, Paul" 9 85 15 14 99 11.00 11 14             7 10                    
42 "Lake, Eddie" 7 51 22 21 72 10.29 5 4             9 8                    
18 "Brown, Greg" 6 58 19 7 65 10.83   1             7 5                    
16 "Lake, Bruce" 11 53 23 7 60 5.45 18 12 1           12 4                    
25 "Anderson, Ian" 7 44 21 4 48 6.86 15 6 28           2 13                    
2 "Buhaj, Wally" 8 32 3 6 38 4.75 2               5 1                    
45 "Daniel, Peter" 6 34 15 3 37 6.17     1           1 3                    
46 "Papp, Vic" 1 12 2 3 15 15.00                 3 2                    
27 "Fanning, John" 4 12 3 2 14 3.50     15           3 2                    
11 "Blethyn, Geoff" 3 12 7   12 4.00 4 1               3                    
34 "Crowley, Ian" 1 10 2   10 10.00   2                                    
36 "Evans, Neil" 2 7 1 1 8 4.00     8           1 3                    
12 "Thompson, Bill" 3 2     2 0.67                   1                    
47 "Thompson, Robert" 1 1     1 1.00                 1                      
43 "Stillman, Les" 1                                                  
5 "Murphy, John" 20 434 75 51 485 24.25 20 22 1           68 42                    
1 "Murray, Kevin" 20 354 83 123 477 23.85 10 18 32           60 35                    
20 "Newnham, John" 19 323 31 55 378 19.89 17 20             39 40                    
9 "McGregor, Treva" 19 248 48 47 295 15.53 10 12 1           41 17                    
23 "Brown, Norm" 18 180 70 64 244 13.56 9 7 275           52 39                    
31 "Lazarus, Gary" 20 210 80 30 240 12.00 28 27 12           35 20                    
3 "Andrews, Mike" 15 196 50 31 227 15.13                 25 29                    
12 "Ruscuklic, Alex" 19 160 98 58 218 11.47 18 25 9           38 33                    
16 "Peoples, Daryl" 16 154 68 63 217 13.56 10 11 7           27 39                    
17 "OBrien, Paul" 17 146 49 68 214 12.59 1 4 29           19 49                    
14 "Rhodes, David" 10 171 51 32 203 20.30 1 4             30 8                    
32 "Crow, Russell" 18 177 62 21 198 11.00 13 13 355           32 42                    
7 "McCrae, Ian" 15 151 18 47 198 13.20 7 8             19 14                    
12 "Cole, Max" 17 176 41 21 197 11.59   1             25 27                    
30 "Wood, Peter" 17 150 68 12 162 9.53     1           14 20                    
11 "Zunneberg, Noel" 11 127 42 20 147 13.36     1           23 33                    
25 "Hobbs, Colin" 9 126 16 13 139 15.44 1 1             25 19                    
24 "Walford, Bill" 11 108 36 27 135 12.27 16 15             10 7                    
10 "Benison, John" 12 96 15 27 123 10.25                 7 18                    
19 "Herrod, Darryl" 12 104 28 17 121 10.08                 6 23                    
21 "Cobain, Rod" 10 98 35 18 116 11.60 10 7             22 13                    
2 "Hellings, Doug" 12 89 31 25 114 9.50 11 8             9 13                    
29 "Worrall, Hugh" 8 79 14 27 106 13.25 4 3             31 6                    
34 "Searl, Doug" 8 66 39 15 81 10.13 31 9 3           8 5                    
6 "Eastman, Wayne" 5 68 11 12 80 16.00                 10 7                    
14 "Padley, Barry" 6 46 7 21 67 11.17 3 4 1           9 5                    
4 "McKenzie, Barry" 8 48 17 11 59 7.38 2 3 31           5 7                    
15 "Sykes, David" 4 21 11 21 42 10.50 3 2 7           6 11                    
41 "Shearer, Graeme" 3 28 4 5 33 11.00 1 3             7 5                    
8 "Dawson, Trevor" 2 30 6 2 32 16.00 1 2             4                      
39 "Atkinson, John" 3 19 2 5 24 8.00 1 4             2 1                    
37 "Austin, Jack" 3 23 7   23 7.67 1               3 1                    
