"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
11 "McGuinness, Tony" 23 477 59 180 657 28.57 12 21   47         35 35 11                  
10 "McDermott, Chris" 23 274 65 320 594 25.83 1 8 1 71         38 39 2                  
12 "Tregenza, Simon" 23 369 77 206 575 25.00 4 7   28         15 17 2                  
26 "Bickley, Mark" 23 297 93 266 563 24.48 13 9   63         23 28 4                  
1 "Anderson, Greg" 22 389 86 143 532 24.18 15 14 3 36         32 18 6                  
2 "Jarman, Andrew" 22 216 46 251 467 21.23 16 16   50         20 48 1                  
13 "Lee, Scott" 23 278 87 179 457 19.87 2 2 1 41         28 16                    
32 "Ricciuto, Mark" 19 238 66 145 383 20.16 2     33         30 28                    
27 "Liptak, Matthew" 20 208 53 161 369 18.45 28 20 2 29         21 41                    
7 "Smart, Nigel" 22 220 81 136 356 16.18 23 17 29 38         36 37 7                  
18 "Maynard, Rodney" 16 147 73 162 309 19.31 3 4   29         25 23 2                  
52 "Rehn, Shaun" 17 104 110 198 302 17.76 6 3 253 19         37 38 11                  
6 "Modra, Tony" 23 240 163 41 281 12.22 129 61   8         26 33 11                  
35 "Jameson, Rod" 19 156 60 99 255 13.42 6 2 1 30         17 14                    
33 "Weidemann, Wayne" 17 121 40 118 239 14.06 7 12   44         12 40                    
21 "Brown, David" 15 136 24 71 207 13.80 12 15   31         11 27                    
34 "Hart, Ben" 20 134 35 67 201 10.05 2 1   31         17 17 1                  
3 "Rowe, Stephen" 15 102 21 94 196 13.07 17 15   30         17 34                    
49 "Viska, Mark" 13 93 36 92 185 14.23 1     16         18 13                    
15 "Pittman, David" 17 51 43 95 146 8.59 1 1 130 17         19 20 3                  
5 "Robran, Matthew" 9 66 42 62 128 14.22 7 4 32 9         7 7                    
51 "Bone, Randall" 10 61 40 53 114 11.40 9 2 18 11         5 14                    
17 "Hodges, Scott" 10 52 34 30 82 8.20 17 16 9 9         5 5                    
45 "Rouvray, Paul" 9 63 23 16 79 8.78   1   18         9 13                    
50 "Groom, Chris" 7 39 22 20 59 8.43 5 3 14 4         4 11                    
40 "Schwerdt, Steven" 3 33 12 25 58 19.33   1   7         3 6                    
14 "Wigney, Stuart" 5 32 22 13 45 9.00 10 5 2 2         3 6                    
4 "Tasker, Sean" 5 15 9 14 29 5.80 2 2   5         1 3                    
25 "Mickan, Mark" 2 13 10 12 25 12.50   3 13 1         1 1                    
36 "Sanderson, Brenton" 2 11 7 13 24 12.00 1 1   2           3                    
46 "Patterson, Paul" 2 8 4 5 13 6.50       1         1                      
29 "Ingerson, Anthony" 1 6 3 6 12 12.00   3   2         1 2                    
20 "Powell, Matthew" 2 8     8 4.00 1               3 3                    
39 "Ross, Jonathan" 1   1 1 1 1.00     1                                  
6 "Fletcher, Adrian" 20 236 87 235 471 23.55 15 6 2 41         42 33 4                  
11 "Buckley, Nathan" 20 347 92 111 458 22.90 21 26 2 24         20 18 14                  
10 "Ashcroft, Marcus" 20 260 79 169 429 21.45 14 11 1 40         19 26 2                  
19 "McLean, Michael" 17 232 52 115 347 20.41 1 1   30         18 22 5                  
32 "Hart, Shaun" 19 205 56 88 293 15.42 9 4 1 46         24 23                    
26 "Noonan, Danny" 16 177 53 108 285 17.81 3 6 1 29         27 24                    
12 "Clarke, Troy" 16 178 36 105 283 17.69 3 7   22         13 15 1                  
41 "Kennedy, Matthew" 19 187 75 92 279 14.68 5 4 93 21         30 28 4                  
4 "Gastev, John" 17 142 51 120 262 15.41 1 4   42         19 24                    
3 "Voss, Michael" 16 141 65 116 257 16.06 7 1   22         16 16 1                  
1 "Champion, Richard" 17 173 85 80 253 14.88 10 7 8 22         29 34                    
5 "Chapman, Nathan" 20 159 54 65 224 11.20 7 8 7 23         21 19                    
31 "McCormack, Brendan" 11 130 34 78 208 18.91 9 9 3 16         16 20                    
24 "Merrett, Roger" 18 146 76 48 194 10.78 60 38 27 18         40 41                    
17 "Leslie, Martin" 9 74 42 75 149 16.56 1   4 15         12 9                    
29 "White, Darryl" 12 72 37 67 139 11.58 13 4 20 25         9 17                    
7 "McIvor, Scott" 10 88 37 50 138 13.80 5 7 2 14         18 16                    
15 "Spargo, Paul" 9 96 25 42 138 15.33 9 2   9         16 16                    
18 "Worsfold, Peter" 9 95 19 36 131 14.56 5 4   9         10 16                    
22 "Bain, David" 9 82 9 47 129 14.33 3 2   20         15 14                    
20 "Craven, Danny" 5 84 15 45 129 25.80 2     12         14 2 2                  
8 "Peos, Paul" 12 91 39 35 126 10.50 11 12   14         14 13                    
40 "McLuckie, Steven" 7 80 17 36 116 16.57   3   9         6 5                    
29 "Francis, Fabian" 9 76 11 36 112 12.44 8 14   13         11 3                    
38 "Scott, Dion" 12 59 40 44 103 8.58 5 6 68 15         11 13                    
28 "Windsor, Ray" 8 70 30 22 92 11.50 11 13 2 10         10 9                    
27 "Murphy, Michael" 10 56 34 30 86 8.60 22 8   9         7 19                    
30 "Bourke, Damian" 9 58 23 16 74 8.22 3   105 4         12 20                    
23 "Leppitsch, Justin" 4 27 3 12 39 9.75 4 2 2 5         4 4                    
2 "Green, Ashley" 5 22 9 10 32 6.40 1 1   8         5 7                    
30 "Alexander, Colin" 2 27 2 4 31 15.50 1 1   3         3 3                    
21 "Parker, John" 3 15 5 15 30 10.00   2   1         5 3                    
25 "Campbell, Matthew" 2 13 4 15 28 14.00 2 1   3         2 2                    
16 "Clarke, Matthew" 4 10 7 9 19 4.75     14 3         1 5                    
36 "Heffernan, Martin" 2 11 7 4 15 7.50 1 3 1 1         1                      
