"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
12 "Armstrong, Barry" 21 497 58 32 529 25.19 25 12             65 58                    
18 "Walsh, Brian" 23 402 114 81 483 21.00 60 41 1           45 42                    
8 "Keogh, Trevor" 24 410 73 65 475 19.79 22 18             71 57                    
27 "Dickson, David" 24 351 138 117 468 19.50 6 8 1           45 48                    
42 "Walls, Robert" 24 385 166 40 425 17.71 47 44 3           58 61                    
28 "Jones, Peter" 23 260 165 151 411 17.87 18 9 357           57 66                    
11 "Doull, Bruce" 25 258 74 136 394 15.76 1   4           23 67                    
43 "McKay, David" 25 351 207 36 387 15.48 37 35 157           35 83                    
17 "Crosswell, Brent" 20 282 109 92 374 18.70   1 1           32 58                    
22 "Chandler, Neil" 22 275 83 88 363 16.50 13 12 3           30 56                    
6 "Crane, Gary" 19 296 77 62 358 18.84 3 5             53 41                    
25 "Jesaulenko, Alex" 21 292 86 59 351 16.71 27 30 3           38 47                    
20 "Southby, Geoff" 22 222 61 54 276 12.55 1   2           57 18                    
31 "Hall, Peter" 20 212 59 56 268 13.40 5 4 3           28 20                    
30 "Waite, Vin" 18 153 60 88 241 13.39     1           44 34                    
5 "Jackson, Syd" 14 180 47 37 217 15.50 14 15             27 31                    
26 "Byrne, Ray" 16 146 33 56 202 12.63 1 4             17 31                    
19 "OConnell, John" 17 147 28 48 195 11.47                 20 21                    
2 "Nicholls, John" 22 111 59 82 193 8.77 47 23 132           27 40                    
3 "Hall, Kevin" 15 146 47 32 178 11.87 3 3 3           26 22                    
16 "Kennedy, Greg" 11 116 55 37 153 13.91 30 31             18 22                    
15 "Pinnell, Phillip" 10 104 27 25 129 12.90   1             8 18                    
33 "Hurst, Paul" 12 99 35 9 108 9.00     2           16 27                    
32 "Quirk, Bryan" 12 84 16 9 93 7.75 2 5             17 5                    
21 "Austin, Rod" 9 63 17 16 79 8.78                 3 9                    
14 "Ashman, Rodney" 9 50 14 26 76 8.44 3 8 1           4 6                    
23 "Davis, Craig" 5 61 29 6 67 13.40 9 4             8 7                    
13 "Pascoe, Eric" 7 21 10 9 30 4.29 1 1 7           5 3                    
4 "Catoggio, Vin" 3 11 3 3 14 4.67 1 2 1           2 2                    
34 "Lukas, Andrew" 2 11 5 3 14 7.00   2             3                      
35 "Styles, Lance" 2 10 3 1 11 5.50     1           4                      
34 "Robertson, Ian" 1 6 3 3 9 9.00 1 1             1 5                    
24 "Fyffe, Peter" 2                                                  
1 "Richardson, Wayne" 23 549 146 50 599 26.04 18 27 10           67 73                    
4 "Bisset, George" 23 455 116 105 560 24.35 34 21 1           42 38                    
18 "Richardson, Max" 23 394 118 75 469 20.39 26 32 9           48 56                    
2 "Thompson, Len" 23 318 152 102 420 18.26 22 23 457           81 60                    
26 "Dean, Robert" 22 317 154 77 394 17.91 2 3 1           49 49                    
3 "Price, Barry" 21 282 54 105 387 18.43 7 6 9           35 34                    
8 "Oborne, Rod" 24 306 125 76 382 15.92 39 36             50 46                    
24 "Salmon, Daryl" 23 235 71 122 357 15.52   1 1           62 53                    
12 "Dunne, Ross" 23 286 122 35 321 13.96 18 13 17           36 44                    
29 "OCallaghan, Denis" 21 245 75 15 260 12.38 1   1           23 31                    
19 "Cranage, Paul" 19 234 47 19 253 13.32   1             25 38                    
34 "Gott, Doug" 19 211 77 42 253 13.32 8 14 4           54 31                    
5 "Wearmouth, Ronnie" 13 177 41 64 241 18.54 5 9             22 28                    
6 "McKenna, Peter" 20 179 113 17 196 9.80 86 42             29 38                    
21 "Clifton, Jeff" 23 158 78 34 192 8.35     3           44 34                    
37 "Coles, Henry" 12 152 22 21 173 14.42 18 15 1           24 26                    
9 "Dunstan, Graeme" 14 132 65 27 159 11.36 16 16             10 21                    
28 "Reichman, Graeme" 11 109 37 43 152 13.82 4 3             14 19                    
7 "Delahunty, Mike" 10 129 49 18 147 14.70 2               17 30                    
14 "Jenkin, Graeme" 18 124 76 23 147 8.17 10 11 89           15 41                    
16 "Atkinson, Alan" 10 100 35 30 130 13.00 4 5             15 23                    
40 "Holmes, Allan" 9 93 24 18 111 12.33 2 2             9 20                    
15 "Heard, Bob" 18 86 68 23 109 6.06 29 13 80           17 26                    
27 "Britt, Con" 7 96 32 5 101 14.43                 16 13                    
31 "Manassa, Phil" 13 85 26 15 100 7.69 3 8             11 15                    
33 "Adamson, Lee" 8 70 32 19 89 11.13                 16 16                    
53 "Beck, Greg" 5 38 10 4 42 8.40 5 2             9 6                    
32 "Browne, Michael" 5 22 10 8 30 6.00 1 1             8 2                    
42 "Clifford, Stephen" 2 23 4 3 26 13.00                 6 5                    
41 "OSullivan, Danny" 7 16 1 8 24 3.43   2             1 4                    
38 "Hyde, Robert" 2 16 1 4 20 10.00                 5 1                    
45 "Kink, Rene" 4 10 9 2 12 3.00 5 2               5                    
17 "Morse, Colin" 2 9 5 1 10 5.00                   3                    
35 "Foley, Kerry" 2 5     5 2.50                 3 3                    
11 "Kaine, Laurie" 1                                                  
33 "Wilson, Andrew" 23 542 72 35 577 25.09 40 29             67 60                    
25 "Moss, Graham" 23 270 199 170 440 19.13 17 13 221           59 69                    
21 "Fletcher, Ken" 22 398 91 31 429 19.50 9 10             56 44                    
1 "Fields, Neville" 21 341 65 72 413 19.67 34 19 6           90 55                    
22 "Williams, John" 23 277 81 52 329 14.30 1               56 38                    
35 "Smith, Ray" 23 282 59 36 318 13.83 1 2             53 43                    
8 "Tuddenham, Des" 18 217 43 83 300 16.67 15 8 1           47 51                    
5 "Parkes, Gary" 19 252 40 27 279 14.68 13 15             33 52                    
10 "Noonan, Alan" 20 220 115 39 259 12.95 63 36 4           31 35                    
19 "Close, Robin" 19 201 87 41 242 12.74 38 27             51 56                    
40 "Delahunty, Hugh" 21 197 68 42 239 11.38 6 14 4           44 72                    
34 "Moloney, Laurie" 21 203 59 23 226 10.76 2   1           42 20                    
31 "Pryor, Geoff" 19 197 47 23 220 11.58   1 3           37 28                    
16 "Perry, Greg" 22 158 87 49 207 9.41 18 12 179           46 47                    
23 "Hickmott, Peter" 14 146 33 44 190 13.57 6 10             29 26                    
6 "Roberts, Ken" 16 144 44 32 176 11.00 36 30             40 54                    
39 "Wellington, Pat" 14 156 49 11 167 11.93 21 28             28 33                    
24 "McKenzie, Don" 16 132 33 24 156 9.75     82           39 33                    
9 "Cassin, John" 10 116 28 28 144 14.40 10 14             17 36                    
28 "Daniel, Peter" 15 105 36 8 113 7.53                 31 15                    
12 "Schultz, Graeme" 10 94 12 12 106 10.60 16 10             17 13                    
15 "Gross, Don" 11 72 16 20 92 8.36 6 6             11 3                    
14 "Headlam, Wayne" 11 65 32 19 84 7.64 7 6 44           13 13                    
11 "Amos, Robert" 11 74 21 9 83 7.55 2               13 13                    
49 "Andrews, Ron" 7 58 21 10 68 9.71 1 1             6 22                    
55 "Wright, Ross" 9 43 22 9 52 5.78                 5 13                    
44 "Halley, Len" 4 21 7 13 34 8.50   1 6           8 8                    
27 "Talbot, Sandy" 5 32 7   32 6.40                 8 2                    
37 "Barclay, Stuart" 4 24 7 5 29 7.25 2 4             6 9                    
29 "Emin, John" 3 9 6 4 13 4.33 1                 3                    
48 "Newton, Rob" 1 11 1 2 13 13.00 2 1             1 1                    
53 "Middleton, Graham" 1 9   1 10 10.00                 5 2                    
43 "Tyler, Trevor" 1 8 3 1 9 9.00   1             2 2                    
38 "Lake, Eddie" 1 7 3 1 8 8.00                 2 3                    
30 "Ellen, Russell" 2     1 1 0.50                                        
5 "Murphy, John" 22 541 96 62 603 27.41 33 35 4           104 80                    
29 "Wilson, Garry" 22 360 104 149 509 23.14 43 32             96 38                    
7 "Irwin, Warwick" 21 391 68 78 469 22.33 22 35             52 50                    
8 "Richards, Laurie" 21 276 133 92 368 17.52 16 18 16           32 40                    
14 "Padley, Barry" 20 289 47 63 352 17.60 8 7 4           47 54                    
19 "McMahon, David" 22 244 99 57 301 13.68 20 24 1           44 62                    
2 "Dare, Norm" 18 233 72 58 291 16.17 8 8             29 22                    
1 "Murray, Kevin" 22 226 56 62 288 13.09     7           52 35                    
6 "McCulloch, Ian" 16 171 89 77 248 15.50 5 4 174           50 38                    
9 "Wall, David" 21 171 87 57 228 10.86 21 16 2           35 35                    
36 "Merrigan, Harvey" 21 178 67 30 208 9.90   1 3           40 20                    
10 "Serafini, Renato" 19 138 62 41 179 9.42 20 16 1           27 27                    
39 "Cruse, Colin" 13 133 38 38 171 13.15 3 3             39 34                    
15 "Rhodes, David" 13 131 33 34 165 12.69 2 2             27 24                    
18 "Robertson, Leigh" 16 148 50 17 165 10.31   1 2           30 27                    
25 "Austen, Geoffrey" 18 140 65 22 162 9.00 5 4 99           32 29                    
23 "Brown, Norm" 16 117 56 29 146 9.13 12 7 115           35 37                    
11 "OKeeffe, Kevin" 10 123 41 22 145 14.50 10 10 2           16 25                    
4 "Searl, Doug" 11 112 45 12 124 11.27 9 6             16 8                    
37 "Renwick, Graeme" 9 82 39 27 109 12.11 8 8 2           15 26                    
22 "Molloy, Shane" 8 66 17 28 94 11.75   1             13 11                    
12 "Sault, Ray" 8 78 20 16 94 11.75 1 1             11 12                    
35 "Smith, Chris" 9 74 31 19 93 10.33                 13 13                    
21 "Thompson, Alan" 5 68 18 14 82 16.40 3 3             13 6                    
13 "Ruscuklic, Alex" 6 58 30 14 72 12.00 11 3             23 10                    
34 "Lukas, Andrew" 8 64 15 6 70 8.75   1             10 5                    
20 "Christou, Jim" 6 44 10 21 65 10.83 9 5             16 8                    
32 "Crow, Russell" 6 37 17 6 43 7.17 2 3 61           12 15                    
49 "Hayes, Kerrin" 3 28 7 13 41 13.67 2 3             4 6                    
26 "Robertson, Glenn" 5 34 6 7 41 8.20 2               3 8                    
24 "Booth, Greg" 4 35 3 3 38 9.50                 8 4                    
28 "Lloyd, Trevor" 6 30 8 6 36 6.00   1             7 11                    
38 "Brain, Ray" 4 24 3 11 35 8.75                 5 2                    
31 "Sinclair, Allan" 5 20 16 5 25 5.00 2 1 1           1 9                    
30 "Noonan, Gerry" 3 12 3 4 16 5.33 2 3             2 3                    
27 "Newton, Jack" 2 10 3   10 5.00 3 1             2 1                    
16 "Formosa, John" 1 4 2 2 6 6.00   1             1                      
16 "Thorpe, David" 22 484 87 85 569 25.86 16 23 1           86 90                    
17 "Gallagher, Adrian" 21 493 99 41 534 25.43 16 18             69 49                    
23 "Magee, Stuart" 20 345 61 93 438 21.90 14 20             59 35                    
24 "Dempsey, Gary" 20 321 230 112 433 21.65 10 12 444           68 48                    
2 "Quinlan, Bernie" 20 301 115 83 384 19.20 20 23 19           28 50                    
21 "Power, Stephen" 20 311 56 25 336 16.80 5 6             55 47                    
10 "Casey, Gordon" 21 299 66 35 334 15.90                 43 29                    
4 "Welsh, Peter" 22 274 117 40 314 14.27 18 10 13           70 62                    
18 "Salmon, Ian" 22 213 95 90 303 13.77 14 6 57           41 58                    
