"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
12 "Armstrong, Barry" 20 373 58 39 412 20.60 13 16             39 57                    
25 "Jesaulenko, Alex" 20 276 102 99 375 18.75 2 2             37 29                    
5 "Jackson, Syd" 22 313 68 59 372 16.91 14 18 2           65 56                    
8 "Keogh, Trevor" 24 325 56 40 365 15.21 16 18 1           61 41                    
14 "Ashman, Rodney" 20 296 65 57 353 17.65 37 31             47 64                    
11 "Doull, Bruce" 24 252 63 92 344 14.33 1 2             31 70                    
21 "Austin, Rod" 20 293 78 39 332 16.60 8 9             40 33                    
36 "MacLure, Mark" 21 244 106 73 317 15.10 4 1             32 61                    
42 "Walls, Robert" 23 268 115 38 306 13.30 59 43             56 64                    
43 "McKay, David" 23 255 145 43 298 12.96 42 29 24           40 65                    
3 "Fitzpatrick, Mike" 24 231 116 48 279 11.63 27 15 175           45 68                    
28 "Jones, Peter" 24 170 118 89 259 10.79 42 8 126           56 40                    
20 "Southby, Geoff" 22 197 39 42 239 10.86 3 1             64 20                    
10 "Mangels, Alan" 17 188 36 41 229 13.47 9 12             48 53                    
23 "Davis, Craig" 18 170 55 28 198 11.00 18 14             27 35                    
19 "OConnell, John" 22 135 40 54 189 8.59                 30 27                    
15 "Pinnell, Phillip" 18 133 41 39 172 9.56 1               23 25                    
