"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
8 "Keogh, Trevor" 26 464 103 68 532 20.46 23 30             87 67                    
10 "Gallagher, Adrian" 23 490 122 32 522 22.70 34 13 3           54 49                    
25 "Jesaulenko, Alex" 24 383 115 79 462 19.25 33 26 7           50 47                    
42 "Walls, Robert" 25 387 175 42 429 17.16 47 47 8           45 66                    
11 "Doull, Bruce" 26 315 69 94 409 15.73 1   1           35 60                    
12 "Armstrong, Barry" 20 374 56 20 394 19.70 15 11 2           45 40                    
27 "Dickson, David" 24 284 85 68 352 14.67 13 7 3           38 60                    
43 "McKay, David" 26 262 152 66 328 12.62 17 13 173           52 64                    
34 "Robertson, Ian" 16 232 114 72 304 19.00 8 12 1           29 37                    
20 "Southby, Geoff" 25 267 71 33 300 12.00                 73 33                    
30 "Waite, Vin" 20 222 77 63 285 14.25 1   3           63 54                    
5 "Jackson, Syd" 23 252 75 29 281 12.22 21 29 1           49 44                    
33 "Hurst, Paul" 21 231 60 42 273 13.00   1 3           34 54                    
28 "Jones, Peter" 24 183 138 79 262 10.92 34 16 190           37 62                    
15 "Pinnell, Phillip" 20 203 62 57 260 13.00   1 2           27 52                    
2 "Nicholls, John" 25 172 82 84 256 10.24 28 19 254           53 84                    
16 "Kennedy, Greg" 22 218 103 37 255 11.59 76 52             33 36                    
7 "Lukas, Andrew" 22 207 56 39 246 11.18 3 2             20 24                    
32 "Quirk, Bryan" 17 218 68 25 243 14.29 4 5             40 31                    
17 "Crosswell, Brent" 14 190 93 47 237 16.93 18 16 13           28 43                    
19 "OConnell, John" 20 170 42 40 210 10.50                 31 29                    
3 "Hall, Kevin" 13 113 27 29 142 10.92 1 3             20 20                    
6 "Crane, Gary" 10 115 33 18 133 13.30 1 3             21 12                    
22 "Chandler, Neil" 4 38 12 11 49 12.25 2 2             4 9                    
18 "Walsh, Brian" 6 36 8 9 45 7.50 4 2             1 6                    
21 "Gill, Barry" 3 27 6 7 34 11.33                 6 3                    
24 "Fyffe, Peter" 8 20 11 5 25 3.13 1                 4                    
31 "Hall, Peter" 3 16 9 1 17 5.67 2 1 1           1 2                    
45 "Austin, Rod" 4 13 5   13 3.25                                        
23 "Warburton, Peter" 2 10 4 1 11 5.50                   2                    
13 "Pascoe, Eric" 1 8 6 2 10 10.00 1 1 5           1 3                    
9 "Warden, John" 2 4   2 6 3.00                 2                      
29 "OBrien, Paul" 1     1 1 1.00                                        
1 "Richardson, Wayne" 24 564 122 66 630 26.25 35 33 1           76 71                    
18 "Richardson, Max" 24 458 135 68 526 21.92 17 20 10           46 63                    
3 "Thompson, Len" 23 348 182 107 455 19.78 21 10 476           86 57                    
12 "Dunne, Ross" 24 334 118 52 386 16.08 5 6 15           67 47                    
2 "Price, Barry" 21 266 61 100 366 17.43 5 5 4           35 35                    
22 "Greening, John" 14 260 79 84 344 24.57 15 6 2           39 30                    
26 "Dean, Robert" 21 263 125 63 326 15.52 18 22 8           59 47                    
16 "Atkinson, Alan" 23 270 60 52 322 14.00 8 4             42 48                    
35 "Wearmouth, Ronnie" 18 207 34 68 275 15.28 17 17 1           26 41                    
8 "Oborne, Rod" 19 213 64 37 250 13.16 7 17             29 40                    
29 "OCallaghan, Denis" 24 228 46 21 249 10.38 1   1           37 40                    
6 "McKenna, Peter" 20 225 132 23 248 12.40 130 53             46 57                    
4 "Potter, Ted" 18 216 64 28 244 13.56     3           27 47                    
15 "Heard, Bob" 22 190 144 53 243 11.05 21 20 127           16 27                    
27 "Britt, Con" 18 224 66 15 239 13.28                 43 37                    
42 "Salmon, Daryl" 19 190 56 40 230 12.11                 39 43                    
34 "Gott, Doug" 17 188 75 27 215 12.65 14 21 5           39 38                    
