"<tr><th colspan=""28""><a href=""../teams/bullldogs_idx.html"">Western Bulldogs</a> [<a href=""teams/bullldogs/2018_gbg.html"">Game by Game</a>]</th></tr>" "<tr><th width=""3%"">#</th><th align=""left"" width=""14%"">Player</th><th width=""3%"">GM</th><th width=""3%"">KI</th><th width=""3%"">MK</th><th width=""3%"">HB</th><th width=""3%"">DI</th><th width=""3%"">DA</th><th width=""3%"">GL</th><th width=""3%"">BH</th><th width=""3%"">HO</th><th width=""3%"">TK</th><th width=""3%"">RB</th><th width=""3%"">IF</th><th width=""3%"">CL</th><th width=""3%"">CG</th><th width=""3%"">FF</th><th width=""3%"">FA</th><th width=""3%"">BR</th><th width=""3%"">CP</th><th width=""3%"">UP</th><th width=""3%"">CM</th><th width=""3%"">MI</th><th width=""3%"">1%</th><th width=""3%"">BO</th><th width=""3%"">GA</th><th width=""3%"">%P</th><th width=""3%"">SU</th></tr>" "<tr><th align=""left"" colspan=""3"">31 players used</th><th>1119</th><th>556</th><th>762</th><th>1881</th><th>17.10</th><th>49</th><th>52</th><th>127</th><th>262</th><th>171</th><th>263</th><th>174</th><th>255</th><th>115</th><th>85</th><th> </th><th>617</th><th>1244</th><th>52</th><th>71</th><th>226</th><th>29</th><th>32</th><th> </th><th> </th></tr>"
10 "Gallagher, Adrian" 18 318 65 57 375 20.83 26 27             45 28                    
2 "Nicholls, John" 17 210 60 139 349 20.53 16 16             63 54                    
39 "Stewart, Cliff" 16 276 37 36 312 19.50 3 2             46 22                    
1 "Silvagni, Sergio" 15 245 73 44 289 19.27 9 17             37 16                    
31 "Barassi, Ron" 11 201 61 81 282 25.64 6 13             16 18                    
11 "Goold, John" 16 211 64 58 269 16.81                 27 27                    
19 "Collins, Ian" 16 192 37 42 234 14.63 3 5             15 23                    
3 "Hall, Kevin" 16 191 66 36 227 14.19 11 16             14 17                    
24 "Board, Terry" 16 196 27 30 226 14.13 20 23             22 13                    
26 "Anderson, Graeme" 17 189 36 27 216 12.71   3             29 22                    
9 "Cox, Berkeley" 14 166 33 49 215 15.36 9 14             16 29                    
12 "Gill, John" 17 165 29 46 211 12.41                 16 25                    
32 "Quirk, Bryan" 16 188 55 22 210 13.13 29 23             24 15                    
6 "Crane, Gary" 11 117 24 36 153 13.91   2             17 14                    
17 "Collis, Gordon" 8 120 40 28 148 18.50                 11 12                    
5 "Greenwood, Ken" 11 124 48 11 135 12.27 6 7             14 13                    
20 "Lofts, Wes" 11 105 36 20 125 11.36 8 8             11 14                    
4 "Buckley, Brian" 13 101 23 19 120 9.23 1 3             16 15                    
36 "Hoggett, Roger" 9 91 18 17 108 12.00                 9 13                    
16 "Sankey, Maurice" 10 85 37 20 105 10.50 10 13             19 28                    
28 "Reilly, John" 12 88 25 15 103 8.58   1             16 20                    
44 "Stone, Ron" 8 66 21 17 83 10.38 2 4             8 6                    
30 "Kick, Murray" 7 70 19 10 80 11.43   2             11 9                    
25 "Comben, John" 5 69 10 4 73 14.60   6             14 10                    
23 "Nankervis, Ian" 8 43 5 14 57 7.13 3 2             5 3                    
8 "Benetti, John" 5 51 19 3 54 10.80   1             11 6                    
21 "Gill, Barry" 8 42 6 11 53 6.63 2               4 4                    
22 "Miller, Jim" 5 36 11 8 44 8.80 16 10             6 9                    
18 "Lloyd, John" 3 19 3 6 25 8.33                 1 1                    
33 "Pleydell, Jim" 5 16 5 6 22 4.40   2             1 4                    
15 "Hardie, Greg" 3 16 5 1 17 5.67 1 3             2 3                    
35 "OSullivan, Dennis" 3 14 1 2 16 5.33                 3 3                    
34 "Schmidt, Barry" 4 11 2   11 2.75                 1 1                    
38 "Trotman, Jeff" 3 5 1 1 6 2.00                                        
42 "Harrison, Stan" 1 5 1   5 5.00                 1                      
7 "Kemp, John" 2                             1                    
26 "Norman, David" 19 382 48 26 408 21.47 32 27             43 26                    
